conversation_id,token,user_email,timestamp_inicio
conv_20250709_c292f1a5,DEV-TOKEN,fsdf,2025-07-09 12:17:18.187757-06:00
conv_20250709_7cac9412,DEV-TOKEN,fsdf,2025-07-09 12:27:47.885916-06:00
conv_20250807_5b6462e0,DEV-TOKEN,SANTIAGOTEST,2025-08-07 17:44:53.815531-06:00
conv_20250918_d6641538,test-token,testuser,2025-09-18 13:09:22.241365-06:00
